Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
348f67658269c0c28e23e234c66eb11891eef614,aug,2017,cool,hold,Madison,736.1215403,735.1419976,734.977136,0,FALSE,FALSE,FALSE,MS
34d5bbd22cce39d6dcef7eaa01680f3baa5c0d19,aug,2017,auto,hold,Hattiesburg,718.7997998,722.2942943,653.1011011,5,TRUE,FALSE,TRUE,MS
39363befb29c5e3ffa7db2685d0ef5e5b6893567,aug,2017,cool,auto,Jackson,729.3192182,728.3387622,717.4592834,30,FALSE,FALSE,FALSE,MS
39363befb29c5e3ffa7db2685d0ef5e5b6893567,aug,2017,cool,hold,Jackson,717.3673469,716.8567504,716.8547881,30,FALSE,FALSE,FALSE,MS
3df4163d6cb3ba0e5657f420ad031f59c0fc3176,aug,2017,auto,auto,Brandon,741.1210191,779.7600849,639.836518,0,FALSE,FALSE,FALSE,MS
4098d37818772512ea2c334962298c6b3fd92ee1,aug,2017,cool,hold,Tupelo,706.0614035,697.8070175,697.5877193,20,TRUE,FALSE,FALSE,MS
41db72abb39a21e919affae19ff3413510b13633,aug,2017,cool,auto,Ocean Springs,707.75,700.2777778,671.1944444,15,FALSE,FALSE,FALSE,MS
41db72abb39a21e919affae19ff3413510b13633,aug,2017,cool,hold,Ocean Springs,725.1904762,700,700,15,FALSE,FALSE,FALSE,MS
4624c623b994dd8c764fc72fff0737ff49899285,aug,2017,auto,auto,Horn Lake,733.4673913,730.7857551,648.8000572,15,FALSE,FALSE,FALSE,MS
4624c623b994dd8c764fc72fff0737ff49899285,aug,2017,auto,hold,Horn Lake,736.4444444,730.1547619,650,15,FALSE,FALSE,FALSE,MS
4ab87020faba980deaf93b4ed381b5dfe1560e1c,aug,2017,cool,auto,Pascagoula,724.70625,719.990625,737.225,0,TRUE,FALSE,TRUE,MS
4ab87020faba980deaf93b4ed381b5dfe1560e1c,aug,2017,cool,hold,Pascagoula,725.821831,723.1933099,723.1950704,0,TRUE,FALSE,TRUE,MS
4b3ba47fd40e51cf6aa07efe98cb82f8a3b6a26b,aug,2017,cool,hold,Hernando,747.6428571,650,650,5,FALSE,FALSE,TRUE,MS
4fe01e07e4cc830b6998642dd0327a85d13b615a,aug,2017,auto,auto,Jackson,720.254902,724.0980392,662.3529412,20,FALSE,FALSE,FALSE,MS
4fe01e07e4cc830b6998642dd0327a85d13b615a,aug,2017,auto,hold,Jackson,709.5306122,709.4615385,652.2747253,20,FALSE,FALSE,FALSE,MS
53a9f3f8f5ec8a83916689c53046deb93598bb85,aug,2017,cool,auto,Madison,683.4166667,695.625,714.3125,15,FALSE,FALSE,FALSE,MS
53a9f3f8f5ec8a83916689c53046deb93598bb85,aug,2017,cool,hold,Madison,706.9321429,718.5083333,718.5083333,15,FALSE,FALSE,FALSE,MS
5677aa48f55f254f8e4e7c7d34d0e1d3a219eded,aug,2017,cool,auto,Cleveland,767.754386,724.1315789,680,0,FALSE,FALSE,FALSE,MS
5a19f59235128f9b4c197ad163702cdd6daf3c54,aug,2017,cool,auto,Bay Saint Louis,734.8976608,707.751462,691.9590643,27,FALSE,FALSE,FALSE,MS
5a19f59235128f9b4c197ad163702cdd6daf3c54,aug,2017,cool,hold,Bay Saint Louis,706.9864865,699.8243243,700,27,FALSE,FALSE,FALSE,MS
5b69efed52fc241326ed400c5801a8622e1f99c6,aug,2017,cool,auto,Jackson,720.7821782,720.2574257,692.5544554,56,FALSE,FALSE,FALSE,MS
5b69efed52fc241326ed400c5801a8622e1f99c6,aug,2017,cool,hold,Jackson,723.4318182,720,720,56,FALSE,FALSE,FALSE,MS
5c989833a054cdd22f8d91078954fc33548cefb7,aug,2017,auto,auto,Gulfport,732.7096774,730.0645161,670,45,FALSE,FALSE,FALSE,MS
5c989833a054cdd22f8d91078954fc33548cefb7,aug,2017,auto,hold,Gulfport,743.7509728,728.0350195,664.8754864,45,FALSE,FALSE,FALSE,MS
5d1005febe1952b707b1c6bebce4551032386fbe,aug,2017,auto,hold,Hernando,726.4883721,720,670,15,FALSE,FALSE,FALSE,MS
5dd8a6e79fad312b87cb88b72105c5256be3bf36,aug,2017,auto,auto,Hernando,786.4716194,800,640,30,FALSE,FALSE,FALSE,MS
5e544fd8e2f202a082e3a8914e3e11420f127154,aug,2017,cool,auto,Madison,740.6794872,739.9145299,750,10,FALSE,FALSE,FALSE,MS
5e544fd8e2f202a082e3a8914e3e11420f127154,aug,2017,cool,hold,Madison,748.0857143,749.9428571,750,10,FALSE,FALSE,FALSE,MS
5e87d638ba11bc92c4d1f9fd1f3959d8ff8100ee,aug,2017,cool,hold,Summit,716.3436123,704.8722467,704.8722467,15,FALSE,FALSE,TRUE,MS
5f4e087820645398573673c087574b35d438ac38,aug,2017,cool,hold,Lake Cormorant,731.75,744.65625,732.46875,15,TRUE,FALSE,FALSE,MS
5fdd61e1a374c2c7ee88c7beeb7cc0131bb946ba,aug,2017,auto,auto,Jackson,724.7585302,716.2362205,620,0,FALSE,FALSE,FALSE,MS
5fdd61e1a374c2c7ee88c7beeb7cc0131bb946ba,aug,2017,auto,hold,Jackson,733.0208558,730.2013664,620,0,FALSE,FALSE,FALSE,MS
60695a0683d80bf28dcaf68234c51a1016a497e5,aug,2017,auto,hold,Oxford,724.4705174,724.4404332,671.4801444,26,FALSE,FALSE,FALSE,MS
