Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
6c0521ad14d0a889e4eda839e4b802054c4f5831,aug,2017,cool,auto,Newark,780.848,782.868,661.16,15,FALSE,FALSE,FALSE,DE
6c0521ad14d0a889e4eda839e4b802054c4f5831,aug,2017,cool,hold,Newark,778.2857143,778.6428571,778.6428571,15,FALSE,FALSE,FALSE,DE
72a96bab921ce6e47de4b55e7730aa0e84a62b42,aug,2017,cool,auto,Frankford,775.7142857,800,750,5,TRUE,FALSE,TRUE,DE
72a96bab921ce6e47de4b55e7730aa0e84a62b42,aug,2017,cool,hold,Frankford,790.2341463,800.0560976,790,5,TRUE,FALSE,TRUE,DE
75c21120aa4d144b7c6c138611846a30838cfaf5,aug,2017,cool,auto,Milton,758.5584518,761.2740916,664.028436,10,FALSE,FALSE,FALSE,DE
75c21120aa4d144b7c6c138611846a30838cfaf5,aug,2017,cool,hold,Milton,722.3416667,720,720,10,FALSE,FALSE,FALSE,DE
789215502796ec24f3fa4468f7ae8fa003aaf5bd,aug,2017,auto,hold,Middletown,785.2222222,760,700,25,FALSE,FALSE,FALSE,DE
7b382f97d6ed8f50c881992217f24ace3989dd43,aug,2017,cool,auto,Wilmington,719.422558,722.2002159,712.7576902,0,FALSE,FALSE,FALSE,DE
7b382f97d6ed8f50c881992217f24ace3989dd43,aug,2017,cool,hold,Wilmington,723.6742475,725.826087,725.7505017,0,FALSE,FALSE,FALSE,DE
7f2f8705ae9539f60ce60e8b8bbc3b535b03ee83,aug,2017,auto,hold,Rehoboth Beach,769.1315789,760,650,0,FALSE,FALSE,FALSE,DE
7f2f8705ae9539f60ce60e8b8bbc3b535b03ee83,aug,2017,cool,auto,Rehoboth Beach,777.5,795,663.5,0,FALSE,FALSE,FALSE,DE
7f2f8705ae9539f60ce60e8b8bbc3b535b03ee83,aug,2017,cool,hold,Rehoboth Beach,781.6,761.8,740.2,0,FALSE,FALSE,FALSE,DE
8a31005ec58397a29edd619787f86368de48a81d,aug,2017,auto,auto,Hockessin,773.2592593,769.9814815,629.8333333,30,FALSE,FALSE,FALSE,DE
8a31005ec58397a29edd619787f86368de48a81d,aug,2017,cool,auto,Hockessin,737.6666667,767,630,30,FALSE,FALSE,FALSE,DE
8a31005ec58397a29edd619787f86368de48a81d,aug,2017,cool,hold,Hockessin,737.3333333,710,630,30,FALSE,FALSE,FALSE,DE
8cec6aa19a42510a18c256427a5798e1126e6b96,aug,2017,auto,hold,Middletown,739.6050955,732.1783439,680,15,FALSE,FALSE,FALSE,DE
8e12babe8e6ece4bf6d2eaef55fb89d48b024bed,aug,2017,cool,auto,Seaford,731.7333333,738.8266667,704.4088889,5,TRUE,FALSE,TRUE,DE
8e12babe8e6ece4bf6d2eaef55fb89d48b024bed,aug,2017,cool,hold,Seaford,730.115727,733.1364985,732.9080119,5,TRUE,FALSE,TRUE,DE
9d30d04feccfcdd6bf548779873d9ac979298cff,aug,2017,cool,auto,Camden Wyoming,736.1151242,759.6591422,660.3408578,27,FALSE,FALSE,FALSE,DE
ab1ae2944a11c23b331a730b140a343e2172018c,aug,2017,cool,auto,Houston,730.748366,756.3970588,724.4101307,20,FALSE,FALSE,TRUE,DE
ab5a9b61c056b033400697326a4873f0dc659052,aug,2017,cool,auto,Camden,713.3413015,713.7370518,710.0053121,0,FALSE,FALSE,FALSE,DE
ab5a9b61c056b033400697326a4873f0dc659052,aug,2017,cool,hold,Camden,712.9790916,711.9812545,711.9812545,0,FALSE,FALSE,FALSE,DE
b17ef9aa6b344f9ab7c7d4a7b04e0e52565132f3,aug,2017,cool,auto,Milton,751.4217033,768.510989,680.3910256,10,FALSE,FALSE,FALSE,DE
b17ef9aa6b344f9ab7c7d4a7b04e0e52565132f3,aug,2017,cool,hold,Milton,773.8610511,820,790,10,FALSE,FALSE,FALSE,DE
