AvgTempCtrl,AvgCool,AvgHeat,Identifier,Country,ProvinceState,Age_of_Home__years_
755.4375,752.05,673.775,d8335687d328065b11b27bf5bb75e732f082c76a,US,AR,26
709.72147651006708,703.16778523489938,673.16778523489938,9b990f301ce0aa341057483e9486620765e2d2ea,US,AR,26
723.01315789473688,709.02631578947364,690.85526315789468,845a1e3f6c8b3e20281e7883ffda54f3702a96c9,US,AR,26
761.50793650793651,760.0,760.0,65a4d1d277f41e00bde5300309ba9173eec285fa,US,AZ,26
842.70873786407765,839.12621359223306,790.0,4be0ffcfb2581f851f7e29d7b19547be16c6b788,US,AZ,26
738.83333333333337,746.66666666666663,727.02380952380952,7be3653eeed19d11997539ce017e38945ae609d8,US,AZ,26
771.61111111111109,755.02777777777783,704.80555555555554,0356561c0223496f257823ebb98fcb6855e23d77,US,AZ,26
813.84848484848487,730.0,708.18181818181813,6a7b64d01a737c3cb45c179cc72fe89a64e4329e,US,AZ,26
814.09836065573768,806.55737704918033,663.27868852459017,12e73b55f7f898b4c7d8c9b7adf539d6022fa455,US,AZ,26
771.88461538461536,764.61538461538464,762.76923076923072,4bd6ccff9dd6245267052f9b7358e5d49a711f1f,US,AZ,26
769.56666666666672,770.0,770.0,8042eb280d41d8a02f7154ed5c6ce633fb27dae2,US,AZ,26
745.53798449612407,778.45736434108528,774.00620155038757,eef5a5e7f1085a8fb4975f5bf715481ce28cd07e,US,CA,26
783.22598870056493,783.62711864406776,783.62711864406776,c3c911d32ef968b328a23fa926a873e34ae3c8b1,US,CA,26
760.77777777777783,780.0,780.0,01e684afdbf2a93cd514cbda14c6a544cd32260b,US,CA,26
773.30731707317068,780.97560975609758,789.26341463414633,b5076872d1a2f1843cac3f90bf63f5876350b71c,US,CA,26
787.68627450980387,781.89705882352939,780.0,260d0637e2f3a709ad6a761e6dec92526b39bec8,US,CA,26
730.0980392156863,729.85049019607845,686.031862745098,f957d99586acd6eb1c86a5cbff5076f7034bc8f4,US,CA,26
732.04166666666663,680.0,680.0,4696840968c0d030156c3900736416d997b06ec2,US,CA,26
753.4133333333333,747.5333333333333,707.93333333333328,f2f1f8fd5f2c6205a5831a2b83ccaafe031be8c6,US,CA,26
798.39560439560444,850.0,640.0,6069e69e529739652bcd6d68830be641c01b9a5a,US,CA,26
760.0866666666667,759.93333333333328,692.26666666666665,0f06f5a578b788b558296b7313fb32bb5d2a41f2,US,CA,26
755.0,751.74074074074076,751.74074074074076,0ad378fe32bc7c653b2162b420b8250fa2c75f8c,US,CA,26
707.85897435897436,710.06410256410254,650.08974358974353,5053b24c7e16a6ea1e598ab72cedfaaea8b9c28b,US,CA,26
788.4,760.0,760.0,18b1eddd3f20b3041ac3a40d2030714b6ee41390,US,CO,26
747.4,750.0,699.26666666666665,ddcf45693529fb1b3e61ecf527775a99bdc5d6e0,US,CO,26
723.44326241134752,659.78723404255322,649.57446808510633,631ccbec6a4cc27f8e1b2360b7498fb634923d32,US,CO,26
831.70833333333337,810.04166666666663,710.0,a12f30045d9e3cb3357fd7c341b8f3adfa9b3558,US,CO,26
718.64754098360652,717.29508196721315,717.29508196721315,0fa6ea68a6347b82f0f49d3f3764fa8f48b752f8,US,CO,26
733.39285714285711,726.46428571428567,652.97619047619048,16d6d768ea942e4c1000f52f4e7985c29c8c5062,US,CO,26
753.5,750.45555555555552,748.21111111111111,44abb48788c0a68a72fe0e9c99090240976fe5d2,US,CT,26
