AvgTempCtrl,AvgCool,AvgHeat,Identifier,Country,ProvinceState,Age_of_Home__years_,Climate,CalendarEvent,Date
773.75,772.5,760.25,ff5aa8f5b0f3c532a276504417b65e822c593794,US,AL,0,Home,hold,06/21/2017
722.1666666666665,721.7205882352941,721.7205882352941,2a2d29f3dc6cfb557b057a1c3d039bd66a640ce3,US,AL,0,Home,hold,06/21/2017
722.0727272727273,720.9272727272727,718.9090909090909,b57a70fe011f0ca2070f85221ea90fe4952790eb,US,AL,0,Home,hold,06/21/2017
734.8461538461537,738.8461538461537,738.8047337278108,01d4384fb6e0bc8f9d2d347ac245408fed66e25a,US,AL,0,Home,hold,06/21/2017
774.4347826086956,786.9565217391303,673.0434782608696,ff5aa8f5b0f3c532a276504417b65e822c593794,US,AL,0,Home,auto,06/21/2017
768.6571428571428,779.3142857142857,769.5428571428571,01d4384fb6e0bc8f9d2d347ac245408fed66e25a,US,AL,0,Home,auto,06/21/2017
754.6274509803922,755.343137254902,689.7745098039217,bfb514b935f6a72d4d76483ca050e3efff46717d,US,AR,0,Home,auto,06/21/2017
742.5604395604396,740.021978021978,680.021978021978,91cf354b9c98942be8d592c68339db00dd45d36c,US,AR,0,Home,auto,06/21/2017
696.1914893617021,700.1843971631206,700.1843971631206,5ab0445d24fb05bc48618752079caf26093f9e90,US,AR,0,Home,hold,06/21/2017
673.7857142857143,678.5714285714286,678.5714285714286,951772b244e17b0b0553a8b6ceed085017a24ba9,US,AR,0,Home,hold,06/21/2017
719.1269841269841,724.2857142857142,707.1428571428571,5ab0445d24fb05bc48618752079caf26093f9e90,US,AR,0,Home,auto,06/21/2017
717.1907514450867,706.2312138728323,706.2138728323698,fff29f4a20cf21ebb64f5555af72670fb05a837b,US,AR,0,Home,hold,06/21/2017
768.4970414201183,799.7396449704142,784.2366863905326,89b44c708a762cb01616ed8e55cc8fe660cffb43,US,AR,0,Home,hold,06/21/2017
751.8181818181818,752.0519480519481,760.0519480519481,c4bc0fd34599db54045a86c96c622b5f04b2109f,US,AR,0,Home,auto,06/21/2017
671.6617647058823,661.4901960784314,661.4901960784314,d2aeae56b5aedc55ce1e17b960ad2d3ba94ca002,US,AR,0,Home,hold,06/21/2017
745.1960784313727,745.0686274509806,741.0049019607843,cc66f26c734305a0adc0b5eac05a782c9d4a7028,US,AR,0,Home,auto,06/21/2017
734.84,732.0,632.0,f0c6b2f4b68ebba1c08822be225d142fd78bffc7,US,AR,0,Home,hold,06/21/2017
760.8509316770187,772.0,772.0,8808f47cb324f0d40e9041429253e3de4c0d9e0d,US,AR,0,Home,hold,06/21/2017
756.330985915493,754.830985915493,710.4225352112677,27792f50095af21530d9e12dcc6e54a4bf31f0a9,US,AR,0,Home,auto,06/21/2017
732.6,726.5888888888887,726.5888888888887,15dd1cd0cea3a01f8309bd4c36d5d4a28de6f668,US,AR,0,Home,hold,06/21/2017
702.6666666666665,670.1666666666665,669.6666666666665,f4d6abcef06426574cc8b5a80ca5a30116fafa5b,US,AR,0,Home,hold,06/21/2017
765.7565217391304,779.3739130434783,779.3565217391304,c4bc0fd34599db54045a86c96c622b5f04b2109f,US,AR,0,Home,hold,06/21/2017
700.8387096774194,701.3763440860216,651.3763440860215,9ea5f08e3d9020a26b4e58e94dfcdc01165b742e,US,AR,0,Home,hold,06/21/2017
784.59375,776.8125,776.8125,cd68debe24af1893460e06a2dbe2f3d3b36e7756,US,AR,0,Home,hold,06/21/2017
735.3811881188119,728.0148514851485,728.0148514851485,524c2b1513fde9bd4b78c791c44b0ec58b97b946,US,AR,0,Home,hold,06/21/2017
722.4193548387095,719.9354838709676,709.9677419354839,fff29f4a20cf21ebb64f5555af72670fb05a837b,US,AR,0,Home,auto,06/21/2017
758.9883720930233,762.3255813953488,762.3255813953488,27792f50095af21530d9e12dcc6e54a4bf31f0a9,US,AR,0,Home,hold,06/21/2017
773.5098039215686,776.4313725490194,670.343137254902,cec26fcad42b2ec4abc1efbafa15eabc18def6af,US,AZ,0,Home,auto,06/21/2017
