AvgTempCtrl,AvgCool,AvgHeat,Identifier,Country,ProvinceState,Age_of_Home__years_,Climate,CalendarEvent
775.08053691275165,813.55704697986573,644.76510067114089,ac98d6e20abef188cca7de1c69fff5193aaed5f9,US,AL,50,Home,auto
718.335260115607,741.01734104046238,648.06936416184976,ca929e939047d3515bdb27b99917aa2f77d2b304,US,AR,50,Home,auto
755.28431372549016,757.13235294117646,670.0,3edcf7cf62660417a075dcb367e12d71e5860602,US,AR,50,Home,auto
803.79166666666663,770.0,780.0,98036b864b39d24f457a0926f334163945a41dba,US,AZ,50,Home,auto
799.17647058823525,797.94117647058829,759.58823529411768,53fd4adcd96a53fd45aab6ec2251dd92b4989aa5,US,AZ,47,Home,auto
789.824074074074,790.0,620.0,18c6ec0052987b648ce9962762c63d398934c2fb,US,AZ,50,Home,auto
748.90909090909088,742.36363636363637,699.40909090909088,a99ab96ef4fd98a56ef9f23776afcbe03cc1e4df,US,AZ,50,Home,auto
830.26666666666665,828.36666666666667,640.0,18f0375212f54641f48cbeb920c1545264db337b,US,AZ,50,Home,auto
784.84,780.24,787.92,bebf04554862d17535bf0314087eb00975bbdfe6,US,AZ,50,Home,auto
848.14285714285711,719.71428571428567,690.14285714285711,4115b2b6ca10f22109de0ead0d207570c9e97e58,US,AZ,47,Home,auto
765.77777777777783,760.0,760.0,454d047ad4e6e622f5a9b7046fbd4783df6a50fe,US,AZ,50,Home,auto
742.1,740.35,730.7,95506e73655e4a7f104918ab8c9180eda1e64094,US,AZ,50,Home,auto
803.88725490196077,802.02941176470586,720.0,62860a78c994e50787bf3c943fc3a43a0b58caf6,US,AZ,47,Home,auto
760.0,696.6,700.0,943ea7063f0e4eb09a76800bc813d465a44b29d7,US,CA,47,Home,auto
739.51851851851848,745.68518518518522,675.38888888888891,e7dccbf9771390cca642bacf9dbeca803b479110,US,CA,50,Home,auto
746.43157894736839,731.56842105263161,741.43157894736839,91f213a03078e1bf6dd30c8dfe1b724aff577623,US,CA,50,Home,auto
756.22222222222217,761.77777777777783,751.77777777777783,8ba8d539a4b737583f52379915f7ce36e3668888,US,CA,46,Home,auto
710.01234567901236,711.18518518518522,650.0,74e62b14740cd78559004314d29bb1aaff964c52,US,CA,50,Home,auto
768.26086956521738,819.82608695652175,600.3478260869565,d6cfe86cdf383909a1410f722454542c2cce3e41,US,CA,50,Home,auto
719.91176470588232,700.0,700.0,3964b5b6f9089e036847dd4e8823d351c7e2bd5b,US,CA,46,Home,auto
740.952380952381,745.35714285714289,631.14285714285711,750cb653a32d152fba154d11430118b76cdb35d2,US,CA,50,Home,auto
